Sureness Threshold,Number of steps,Batch Size,C,gamma,PCA,Train Accuracy,Validation Accuracy,Testing Accuracy,Sensitivity,Specificity,Mean Accuracy
0,3401,200,31.622777,-0.00001,FALSE,50.00%,50.00%,50.00%,100.00%,0.00%,50.00%
0.5,3401,200,31.622777,-0.00001,FALSE,50.00%,50.00%,50.00%,0.00%,100.00%,50.00%
1,3401,200,31.622777,-0.00001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
1.5,3401,200,31.622777,-0.00001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
0,3401,200,31.622777,-0.0001,FALSE,50.00%,50.00%,50.00%,100.00%,0.00%,50.00%
0.5,3401,200,31.622777,-0.0001,FALSE,50.00%,50.00%,50.00%,100.00%,0.00%,50.00%
1,3401,200,31.622777,-0.0001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
1.5,3401,200,31.622777,-0.0001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
0,3401,200,31.622777,-0.001,FALSE,60.27%,58.70%,61.11%,84.54%,32.85%,58.70%
0.5,3401,200,31.622777,-0.001,FALSE,60.12%,60.02%,61.31%,25.60%,94.44%,60.02%
1,3401,200,31.622777,-0.001,FALSE,51.50%,51.33%,50.20%,18.60%,10.14%,14.37%
1.5,3401,200,31.622777,-0.001,FALSE,50.03%,50.36%,50.00%,18.60%,10.14%,14.37%
0,3401,200,31.622777,-0.01,FALSE,72.83%,73.43%,80.56%,74.64%,72.22%,73.43%
0.5,3401,200,31.622777,-0.01,FALSE,70.09%,69.44%,73.21%,74.64%,64.25%,69.44%
1,3401,200,31.622777,-0.01,FALSE,64.31%,64.13%,67.06%,18.60%,10.14%,14.37%
1.5,3401,200,31.622777,-0.01,FALSE,60.59%,60.51%,61.71%,18.60%,10.14%,14.37%
0,3401,200,1,-0.01,FALSE,42.21%,43.84%,45.24%,82.85%,4.83%,43.84%
0.2,3401,200,1,-0.01,FALSE,45.37%,46.50%,41.67%,71.50%,21.50%,46.50%
0.4,3401,200,1,-0.01,FALSE,34.96%,33.45%,28.97%,60.63%,6.28%,33.45%
